dataset,image_id,correct,confidence,fap_05,entropy,cam_max
Internal,ISIC_0029871,1,0.9982506009982899,0.0,-0.0,0.0
Internal,ISIC_0031892,1,0.997544304234907,0.0,-0.0,0.0
Internal,ISIC_0031102,1,0.9910224657505751,0.0,-0.0,0.0
Internal,ISIC_0028767,0,0.643669843673706,0.05685985331632653,9.490479,0.9999998807907104
Internal,ISIC_0024997,1,0.8945557400584221,0.037767059948979595,9.605137,0.9999998807907104
Internal,ISIC_0032970,1,0.9970843195915222,0.13801419005102042,9.8388,0.9999998807907104
Internal,ISIC_0030527,1,0.9998230226483429,0.0,-0.0,0.0
Internal,ISIC_0028708,1,0.998007021844387,0.0,-0.0,0.0
Internal,ISIC_0029181,1,0.9958687676116824,0.0,-0.0,0.0
Internal,ISIC_0027248,1,0.9172754362225533,0.06943558673469388,10.076011,0.9999998807907104
Internal,ISIC_0031636,1,0.9970374954864383,0.023636798469387755,8.651635,0.9999998807907104
Internal,ISIC_0025113,0,0.7137769460678101,0.05112005739795918,9.409527,0.9999998807907104
Internal,ISIC_0026182,1,0.9829303547739983,0.020627391581632654,8.907462,0.9999998807907104
Internal,ISIC_0027452,0,0.6374123692512512,0.08531967474489796,9.596739,0.9999998807907104
Internal,ISIC_0029221,1,0.5644979774951935,0.03005420918367347,9.180046,0.9999998807907104
Internal,ISIC_0031269,1,0.9992315192939714,0.013552295918367346,7.9323673,0.9999998807907104
Internal,ISIC_0025054,1,0.9752710834145546,0.0,-0.0,0.0
Internal,ISIC_0031755,1,0.9983167804311961,0.0,-0.0,0.0
Internal,ISIC_0030122,1,0.7660250067710876,0.10076530612244898,9.809755,0.9999998807907104
Internal,ISIC_0033822,1,0.9559204615652561,0.018435108418367346,7.431917,0.9999998807907104
Internal,ISIC_0032927,1,0.9598404169082642,0.09263392857142858,9.804716,0.9999998807907104
Internal,ISIC_0028090,1,0.9990855845971964,0.0,-0.0,0.0
Internal,ISIC_0028421,1,0.9988961513154209,0.0,-0.0,0.0
Internal,ISIC_0030457,1,0.9992022110382095,0.0,-0.0,0.0
Internal,ISIC_0031660,1,0.9624332897365093,0.022181919642857144,9.453898,0.9999998807907104
Internal,ISIC_0024324,1,0.9619704633951187,0.034677933673469385,9.239842,0.9999998807907104
Internal,ISIC_0025718,1,0.866547703742981,0.07892219387755102,9.553607,0.9999998807907104
Internal,ISIC_0030770,1,0.9926411439664662,0.018973214285714284,9.243425,0.9999998807907104
Internal,ISIC_0033628,1,0.9641579240560532,0.018215880102040817,8.79332,0.9999998807907104
Internal,ISIC_0032830,1,0.8989071473479271,0.017119738520408163,9.10977,0.9999998807907104
Malignant-Benign,ISIC_0064060,0,0.5582059025764465,0.03653140943877551,9.221494,0.9999998807907104
Malignant-Benign,ISIC_0054843,0,0.5724491775035858,0.027224170918367346,9.257463,0.9999998807907104
Malignant-Benign,ISIC_0027036,1,0.9660300128161907,0.09412866709183673,10.138501,0.9999998807907104
Malignant-Benign,ISIC_1080345,1,0.7410399913787842,0.04978475765306122,9.458012,0.9999998807907104
Malignant-Benign,ISIC_0035591,1,0.9994502468616702,0.0,-0.0,0.0
Malignant-Benign,ISIC_0025640,1,0.8139066696166992,0.016561702806122448,8.961157,0.9999998807907104
Malignant-Benign,ISIC_0031912,1,0.9988995740422979,0.0,-0.0,0.0
Malignant-Benign,ISIC_0012915,1,0.8777451515197754,0.06132413903061224,9.301338,0.9999998807907104
Malignant-Benign,ISIC_1099075,0,0.522931843996048,0.02893813775510204,9.307314,0.9999998807907104
Malignant-Benign,ISIC_0030856,1,0.9457848891615868,0.03316326530612245,9.205002,0.9999998807907104
Malignant-Benign,ISIC_0063198,0,0.9985529165714979,0.0,-0.0,0.0
Malignant-Benign,ISIC_0035188,1,0.9992140622925945,0.0,-0.0,0.0
Malignant-Benign,ISIC_0058421,1,0.9723720028996468,0.01779735331632653,8.506318,0.9999998807907104
Malignant-Benign,ISIC_0032342,1,0.983426021412015,0.04352678571428571,9.943741,0.9999998807907104
Malignant-Benign,ISIC_0032455,0,0.7498882114887238,0.05231584821428571,10.05554,0.9999998807907104
Malignant-Benign,ISIC_0022826,0,0.5639089643955231,0.028081154336734693,9.452512,0.9999998807907104
Malignant-Benign,ISIC_0034199,0,0.6234396696090698,0.08264907525510204,9.608931,0.9999998807907104
Malignant-Benign,ISIC_0067908,0,0.8083244115114212,0.016661352040816327,7.682144,0.9999998807907104
Malignant-Benign,ISIC_0030471,1,0.9980850361753255,0.016661352040816327,7.682144,0.9999998807907104
Malignant-Benign,ISIC_0023856,1,0.9425369501113892,0.08619658801020408,9.832299,0.9999998807907104
Malignant-Benign,ISIC_0063866,1,0.8078488707542419,0.0731624681122449,10.068985,0.9999998807907104
Malignant-Benign,ISIC_0068176,1,0.5395859479904175,0.09347098214285714,9.836328,0.9999998807907104
Malignant-Benign,ISIC_0057689,0,0.9415604993700981,0.03539540816326531,8.543081,0.9999998807907104
Malignant-Benign,ISIC_0022069,1,0.8710959553718567,0.07481664540816327,9.768835,0.9999998807907104
Malignant-Benign,ISIC_0026233,1,0.998841192573309,0.0,-0.0,0.0
Malignant-Benign,ISIC_0013565,0,0.8691840469837189,0.034099968112244895,8.761109,0.9999998807907104
Malignant-Benign,ISIC_0065205,0,0.9853605637326837,0.02784199617346939,8.87371,0.9999998807907104
Malignant-Benign,ISIC_0034660,1,0.9914313908666372,0.0,-0.0,0.0
Malignant-Benign,ISIC_0028523,1,0.997259602881968,0.0,-0.0,0.0
Malignant-Benign,ISIC_0021067,1,0.5426410436630249,0.0784438775510204,9.433788,0.9999998807907104
PH2,IMD423,1,0.5296959280967712,0.026426977040816327,9.673219,0.9999998807907104
PH2,IMD348,1,0.9886119961738586,0.16589604591836735,10.001705,0.9999998807907104
PH2,IMD044,1,0.9905538372695446,0.033302774234693876,8.244963,0.9999998807907104
PH2,IMD125,1,0.9394780471920967,0.029735331632653062,8.111349,0.9999998807907104
PH2,IMD004,0,0.9530914053320885,0.018116230867346938,8.415508,0.9999998807907104
PH2,IMD036,0,0.9507912062108517,0.03138950892857143,8.921341,0.9999998807907104
PH2,IMD306,0,0.9218643605709076,0.018435108418367346,7.431917,0.9999998807907104
PH2,IMD176,1,0.9914063001051545,0.02881855867346939,8.445131,0.9999998807907104
PH2,IMD058,0,0.5531821548938751,0.04587850765306122,9.1329775,0.9999998807907104
PH2,IMD424,0,0.7899412214756012,0.041872608418367346,9.007588,0.9999998807907104
PH2,IMD108,1,0.9911609794944525,0.0,-0.0,0.0
PH2,IMD393,1,0.5845350623130798,0.04982461734693878,9.215242,0.9999998807907104
PH2,IMD206,1,0.9977853314485401,0.018435108418367346,8.713526,0.9999998807907104
PH2,IMD120,0,0.9737442675977945,0.02415497448979592,8.60695,0.9999998807907104
PH2,IMD078,0,0.9328871965408325,0.018435108418367346,8.692025,0.9999998807907104
PH2,IMD020,1,0.9648714326322079,0.017737563775510203,8.730324,0.9999998807907104
PH2,IMD339,0,0.998168530059047,0.016661352040816327,8.253441,0.9999998807907104
PH2,IMD033,0,0.8459097295999527,0.02600845025510204,8.918397,0.9999998807907104
PH2,IMD160,1,0.9832988046109676,0.0,-0.0,0.0
PH2,IMD037,0,0.955632146447897,0.025928730867346938,8.093658,0.9999998807907104
PH2,IMD152,1,0.962686151266098,0.03517617984693878,8.458182,0.9999998807907104
PH2,IMD208,1,0.9895370323210955,0.018435108418367346,7.431918,0.9999998807907104
PH2,IMD040,0,0.9949965621344745,0.0,-0.0,0.0
PH2,IMD198,1,0.9386845864355564,0.03380102040816327,8.999584,0.9999998807907104
PH2,IMD014,0,0.9712256174534559,0.01815609056122449,8.101642,0.9999998807907104
PH2,IMD091,0,0.8786635771393776,0.013552295918367346,8.36508,0.9999998807907104
PH2,IMD411,1,0.8164085745811462,0.06329719387755102,9.587407,0.9999998807907104
PH2,IMD419,1,0.9614208936691284,0.21340880102040816,10.045946,0.9999998807907104
PH2,IMD147,1,0.9577050395309925,0.020567602040816327,9.0384865,0.9999998807907104
PH2,IMD048,0,0.8690638840198517,0.03009406887755102,8.107089,0.9999998807907104
